[33m[nodemon] 2.0.21[39m
[33m[nodemon] to restart at any time, enter `rs`[39m
[33m[nodemon] watching path(s): *.*[39m
[33m[nodemon] watching extensions: js,mjs,json[39m
[32m[nodemon] starting `node --trace-warnings ./index.js`[39m
conectando....
ouvindo na porta 80
conectado
conectado!!
ENVIANDO 0.41824783570771884 < 1.8327215522973006e-7
ENVIANDO 0.789226652529532 < 2.625421081647872e-7
ENVIANDO 0.7138081899119784 < 3.421291345784283e-7
ENVIANDO 0.3653572952586053 < 4.2139907485694295e-7
ENVIANDO 0.5885893691330686 < 5.009860886140416e-7
ENVIANDO 0.6548438577564881 < 5.80256016347036e-7
ENVIANDO 0.02544357979322509 < 6.595259378627816e-7
ENVIANDO 0.34213053747440214 < 7.387958530502559e-7
ENVIANDO 0.060416146359583145 < 8.180657619094589e-7
ENVIANDO 0.439753789660553 < 8.976527441362236e-7
ENVIANDO 0.612458930901985 < 9.772397199236948e-7
ENVIANDO 0.9112763428432911 < 0.0000010565096099091065
ENVIANDO 0.2113479690627833 < 0.0000011357794936772692
ENVIANDO 0.11297854955734477 < 0.0000012156835300647373
ENVIANDO 0.5019898016266577 < 0.0000012949534011763575
ENVIANDO 0.8703236890206103 < 0.0000013745403453224725
ENVIANDO 0.24135522708584745 < 0.0000014538102038885725
ENVIANDO 0.5178821569268237 < 0.0000015333971354891673
ENVIANDO 0.22034913357135721 < 0.000001612984060761491
ENVIANDO 0.17733199224834517 < 0.0000016922539003427772
ENVIANDO 0.2929181307295612 < 0.0000017718408129585583
ENVIANDO 0.7099180008009673 < 0.0000018514277192460682
ENVIANDO 0.4516280353347748 < 0.000001931014619205307
ENVIANDO 0.32798297229982576 < 0.0000020102844335845305
ENVIANDO 0.8465284075888482 < 0.0000020898713208872266
ENVIANDO 0.27746543859956896 < 0.00000216914112272093
ENVIANDO 0.28770432904887877 < 0.0000022487279973670837
ENVIANDO 0.7898144445212336 < 0.000002328314865684966
ENVIANDO 0.8885878775863965 < 0.000002407584648533856
ENVIANDO 0.40856686321236646 < 0.0000024868544251654967
ENVIANDO 0.7788392661894874 < 0.0000025661241954688663
ENVIANDO 0.41213819685140396 < 0.000002645711038584686
ENVIANDO 0.8358895159898092 < 0.0000027249807963425354
ENVIANDO 0.8840892753483713 < 0.0000028045676266907904
ENVIANDO 0.14254892795267082 < 0.0000028838373719031196
ENVIANDO 0.7501112251385644 < 0.0000029631071106761553
ENVIANDO 0.7439521970418963 < 0.000003042059764313265
ENVIANDO 0.9720549018461826 < 0.00000312164656957048
ENVIANDO 0.09597353554757437 < 0.0000032009162895807464
ENVIANDO 0.693960347180544 < 0.000003280503082070396
ENVIANDO 0.4092120835349615 < 0.0000033597727895351426
ENVIANDO 0.973451391009901 < 0.0000034390424906716177
ENVIANDO 0.3876165090125516 < 0.000003518629264176454
ENVIANDO 0.3525373638574878 < 0.0000035978989527674088
ENVIANDO 0.6617748217817749 < 0.0000036774857137267247
ENVIANDO 0.128557065379173 < 0.0000037573895470544016
ENVIANDO 0.09713501546978454 < 0.000003836659216660543
ENVIANDO 0.7508699856950145 < 0.000003916245958635045
ENVIANDO 0.701403906298852 < 0.000003995515615584644
ENVIANDO 0.8930285680899883 < 0.000004075102344902604
ENVIANDO 0.8765563627082793 < 0.000004154371989306682
ENVIANDO 0.0603203827218981 < 0.000004233958705968099
ENVIANDO 0.5100677523431341 < 0.000004313228337826658
ENVIANDO 0.9372311095007919 < 0.000004392497963356945
ENVIANDO 0.06778901636247081 < 0.000004472084661144571
ENVIANDO 0.7106330745601634 < 0.0000045513542740183155
ENVIANDO 0.7124604074434602 < 0.000004630623880674811
ENVIANDO 0.4456315971608704 < 0.000004709893481114058
ENVIANDO 0.5234435823235737 < 0.000004789480153588599
ENVIANDO 0.14914033665805015 < 0.000004868749741371303
ENVIANDO 0.1454668664726506 < 0.000004948019322825736
ENVIANDO 0.04246402243315983 < 0.0000050272888980629205
ENVIANDO 0.012151143047935076 < 0.000005106875545224376
ENVIANDO 0.5048342389026155 < 0.00000518614510791604
ENVIANDO 0.18110760137977255 < 0.000005265731742420954
ENVIANDO 0.27270804843583196 < 0.000005345001292456075
ENVIANDO 0.08139735430337414 < 0.0000054245879144154685
ENVIANDO 0.6998720030180892 < 0.0000055038574517940475
ENVIANDO 0.7620587818867088 < 0.000005582809904924879
ENVIANDO 0.17163066371588487 < 0.000005662713585929957
ENVIANDO 0.9381464835380358 < 0.000005741983104545767
ENVIANDO 0.37313932378993053 < 0.000005821569694863804
ENVIANDO 0.0619987996526683 < 0.0000059008392008230715
ENVIANDO 0.004834928269451311 < 0.000005980425778484566
ENVIANDO 0.25167075477385503 < 0.000006059695271898313
ENVIANDO 0.4345103718470742 < 0.000006139281836903265
ENVIANDO 0.5624804052928041 < 0.00000621855131766047
ENVIANDO 0.6775937442218787 < 0.000006297820792200426
ENVIANDO 0.6325728313388885 < 0.0000063774073383315866
ENVIANDO 0.6582570839765134 < 0.000006456676800215
ENVIANDO 0.823557479145957 < 0.000006535946255881164
ENVIANDO 0.955353922569081 < 0.000006615532782916489
ENVIANDO 0.5648026125569376 < 0.000006694802226037133
ENVIANDO 0.8988351235726193 < 0.000006774388740526938
ENVIANDO 0.023743681887509194 < 0.000006853658170880017
ENVIANDO 0.2288684670810448 < 0.00000693292759512687
ENVIANDO 0.9976391512433807 < 0.000007012197012934429
ENVIANDO 0.14807568495316437 < 0.000007091783502222171
ENVIANDO 0.06485447757437579 < 0.00000717105290748421
ENVIANDO 0.4171667544750215 < 0.000007250639384004387
ENVIANDO 0.21077207459194724 < 0.000007329908776720906
ENVIANDO 0.1573024352447827 < 0.000007409495240695563
ENVIANDO 0.2804650489657665 < 0.000007488764620755539
ENVIANDO 0.11418037987219098 < 0.000007568033994598267
ENVIANDO 0.007841390076774202 < 0.00000764762043958811
ENVIANDO 0.9785661575011204 < 0.000007727206878249682
ENVIANDO 0.888627780601007 < 0.000007806476233218618
